OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
49-3022,Automotive glass installers and repairers,,18150
49-3023,Automotive service technicians and mechanics,,668540
49-3031,Bus and truck mechanics and diesel engine specialists,,251430
49-3041,Farm equipment mechanics,,30770
49-3042,"Mobile heavy equipment mechanics, except engines",,112000
49-3043,Rail car repairers,,18140
49-3051,Motorboat mechanics,,17680
49-3052,Motorcycle mechanics,,15920
49-3053,Outdoor power equipment and other small engine mechanics,,25170
49-3091,Bicycle repairers,,7750
49-3092,Recreational vehicle service technicians,,12340
49-3093,Tire repairers and changers,,87110
49-9011,Mechanical door repairers,,10470
49-9012,"Control and valve installers and repairers, except mechanical door",,37260
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",,225630
49-9031,Home appliance repairers,,40300
49-9041,Industrial machinery mechanics,,212770
49-9042,"Maintenance and repair workers, general",,1267390
49-9043,"Maintenance workers, machinery",,84850
49-9044,Millwrights,,57050
49-9045,"Refractory materials repairers, except brickmasons",,3570
49-9051,Electrical power-line installers and repairers,,101760
49-9052,Telecommunications line installers and repairers,,144080
49-9061,Camera and photographic equipment repairers,,3830
49-9062,Medical equipment repairers,,23750
49-9063,Musical instrument repairers and tuners,,5290
49-9064,Watch repairers,,3450
49-9069,"Precision instrument and equipment repairers, all other",,13500
49-9091,"Coin, vending, and amusement machine servicers and repairers",,37230
